,team,player,pass_outcome,pass_goal_assist,location,pass_end_location,x,y,endx,endy
34,Barcelona,Andrés Iniesta Luján,Complete,,"[31.0, 7.0]","[49.0, 21.0]",31.0,7.0,49.0,21.0
91,Barcelona,Andrés Iniesta Luján,Complete,,"[29.0, 13.0]","[41.0, 18.0]",29.0,13.0,41.0,18.0
99,Barcelona,Andrés Iniesta Luján,Incomplete,,"[76.0, 2.0]","[81.0, 2.0]",76.0,2.0,81.0,2.0
133,Barcelona,Andrés Iniesta Luján,Complete,,"[74.0, 27.0]","[75.0, 35.0]",74.0,27.0,75.0,35.0
149,Barcelona,Andrés Iniesta Luján,Complete,,"[77.0, 18.0]","[79.0, 33.0]",77.0,18.0,79.0,33.0
151,Barcelona,Andrés Iniesta Luján,Complete,,"[79.0, 19.0]","[98.0, 4.0]",79.0,19.0,98.0,4.0
153,Barcelona,Andrés Iniesta Luján,Complete,,"[78.0, 12.0]","[86.0, 23.0]",78.0,12.0,86.0,23.0
155,Barcelona,Andrés Iniesta Luján,Complete,,"[73.0, 19.0]","[80.0, 32.0]",73.0,19.0,80.0,32.0
157,Barcelona,Andrés Iniesta Luján,Complete,,"[86.0, 57.0]","[97.0, 43.0]",86.0,57.0,97.0,43.0
164,Barcelona,Andrés Iniesta Luján,Incomplete,,"[93.0, 44.0]","[113.0, 23.0]",93.0,44.0,113.0,23.0
171,Barcelona,Andrés Iniesta Luján,Complete,,"[44.0, 52.0]","[51.0, 74.0]",44.0,52.0,51.0,74.0
173,Barcelona,Andrés Iniesta Luján,Incomplete,,"[47.0, 53.0]","[67.0, 52.0]",47.0,53.0,67.0,52.0
175,Barcelona,Andrés Iniesta Luján,Complete,,"[49.0, 58.0]","[48.0, 69.0]",49.0,58.0,48.0,69.0
177,Barcelona,Andrés Iniesta Luján,Complete,,"[50.0, 62.0]","[44.0, 65.0]",50.0,62.0,44.0,65.0
200,Barcelona,Andrés Iniesta Luján,Complete,,"[48.0, 22.0]","[57.0, 4.0]",48.0,22.0,57.0,4.0
202,Barcelona,Andrés Iniesta Luján,Complete,,"[64.0, 20.0]","[64.0, 43.0]",64.0,20.0,64.0,43.0
207,Barcelona,Andrés Iniesta Luján,Complete,,"[82.0, 34.0]","[70.0, 27.0]",82.0,34.0,70.0,27.0
211,Barcelona,Andrés Iniesta Luján,Complete,,"[84.0, 14.0]","[84.0, 3.0]",84.0,14.0,84.0,3.0
213,Barcelona,Andrés Iniesta Luján,Complete,,"[74.0, 14.0]","[77.0, 25.0]",74.0,14.0,77.0,25.0
227,Barcelona,Andrés Iniesta Luján,Complete,,"[80.0, 27.0]","[85.0, 27.0]",80.0,27.0,85.0,27.0
229,Barcelona,Andrés Iniesta Luján,Complete,,"[78.0, 24.0]","[83.0, 30.0]",78.0,24.0,83.0,30.0
233,Barcelona,Andrés Iniesta Luján,Complete,,"[74.0, 15.0]","[78.0, 23.0]",74.0,15.0,78.0,23.0
235,Barcelona,Andrés Iniesta Luján,Complete,,"[70.0, 23.0]","[93.0, 77.0]",70.0,23.0,93.0,77.0
251,Barcelona,Andrés Iniesta Luján,Complete,,"[70.0, 33.0]","[63.0, 41.0]",70.0,33.0,63.0,41.0
258,Barcelona,Andrés Iniesta Luján,Out,,"[97.0, 28.0]","[119.0, 25.0]",97.0,28.0,119.0,25.0
264,Barcelona,Andrés Iniesta Luján,Complete,,"[42.0, 12.0]","[63.0, 2.0]",42.0,12.0,63.0,2.0
273,Barcelona,Andrés Iniesta Luján,Complete,,"[71.0, 7.0]","[74.0, 20.0]",71.0,7.0,74.0,20.0
285,Barcelona,Andrés Iniesta Luján,Complete,,"[71.0, 27.0]","[79.0, 42.0]",71.0,27.0,79.0,42.0
291,Barcelona,Andrés Iniesta Luján,Complete,,"[72.0, 23.0]","[79.0, 4.0]",72.0,23.0,79.0,4.0
309,Barcelona,Andrés Iniesta Luján,Complete,,"[58.0, 26.0]","[57.0, 42.0]",58.0,26.0,57.0,42.0
312,Barcelona,Andrés Iniesta Luján,Complete,,"[72.0, 26.0]","[89.0, 3.0]",72.0,26.0,89.0,3.0
314,Barcelona,Andrés Iniesta Luján,Complete,,"[79.0, 18.0]","[83.0, 29.0]",79.0,18.0,83.0,29.0
316,Barcelona,Andrés Iniesta Luján,Complete,,"[81.0, 20.0]","[81.0, 30.0]",81.0,20.0,81.0,30.0
