,team,player,pass_outcome,pass_goal_assist,location,pass_end_location,x,y,endx,endy
10,Barcelona,Lionel Andrés Messi Cuccittini,Complete,,"[51.0, 16.0]","[50.0, 25.0]",51.0,16.0,50.0,25.0
61,Barcelona,Lionel Andrés Messi Cuccittini,Complete,,"[57.0, 55.0]","[64.0, 73.0]",57.0,55.0,64.0,73.0
63,Barcelona,Lionel Andrés Messi Cuccittini,Complete,,"[61.0, 70.0]","[65.0, 78.0]",61.0,70.0,65.0,78.0
65,Barcelona,Lionel Andrés Messi Cuccittini,Complete,,"[70.0, 75.0]","[68.0, 71.0]",70.0,75.0,68.0,71.0
68,Barcelona,Lionel Andrés Messi Cuccittini,Complete,,"[77.0, 76.0]","[69.0, 78.0]",77.0,76.0,69.0,78.0
127,Barcelona,Lionel Andrés Messi Cuccittini,Complete,,"[41.0, 73.0]","[30.0, 74.0]",41.0,73.0,30.0,74.0
129,Barcelona,Lionel Andrés Messi Cuccittini,Complete,,"[35.0, 77.0]","[35.0, 70.0]",35.0,77.0,35.0,70.0
131,Barcelona,Lionel Andrés Messi Cuccittini,Complete,,"[64.0, 61.0]","[57.0, 45.0]",64.0,61.0,57.0,45.0
134,Barcelona,Lionel Andrés Messi Cuccittini,Complete,,"[75.0, 34.0]","[70.0, 18.0]",75.0,34.0,70.0,18.0
154,Barcelona,Lionel Andrés Messi Cuccittini,Complete,,"[86.0, 23.0]","[74.0, 19.0]",86.0,23.0,74.0,19.0
160,Barcelona,Lionel Andrés Messi Cuccittini,Complete,,"[90.0, 24.0]","[107.0, 24.0]",90.0,24.0,107.0,24.0
162,Barcelona,Lionel Andrés Messi Cuccittini,Complete,,"[104.0, 15.0]","[93.0, 23.0]",104.0,15.0,93.0,23.0
165,Barcelona,Lionel Andrés Messi Cuccittini,Complete,,"[98.0, 8.0]","[93.0, 18.0]",98.0,8.0,93.0,18.0
185,Barcelona,Lionel Andrés Messi Cuccittini,Complete,,"[70.0, 46.0]","[80.0, 29.0]",70.0,46.0,80.0,29.0
195,Barcelona,Lionel Andrés Messi Cuccittini,Complete,,"[64.0, 50.0]","[47.0, 53.0]",64.0,50.0,47.0,53.0
206,Barcelona,Lionel Andrés Messi Cuccittini,Complete,,"[76.0, 55.0]","[82.0, 34.0]",76.0,55.0,82.0,34.0
221,Barcelona,Lionel Andrés Messi Cuccittini,Complete,,"[66.0, 12.0]","[56.0, 4.0]",66.0,12.0,56.0,4.0
228,Barcelona,Lionel Andrés Messi Cuccittini,Complete,,"[86.0, 26.0]","[78.0, 24.0]",86.0,26.0,78.0,24.0
230,Barcelona,Lionel Andrés Messi Cuccittini,Complete,,"[85.0, 30.0]","[79.0, 35.0]",85.0,30.0,79.0,35.0
236,Barcelona,Lionel Andrés Messi Cuccittini,Complete,,"[102.0, 50.0]","[107.0, 56.0]",102.0,50.0,107.0,56.0
270,Barcelona,Lionel Andrés Messi Cuccittini,Incomplete,,"[99.0, 28.0]","[112.0, 23.0]",99.0,28.0,112.0,23.0
272,Barcelona,Lionel Andrés Messi Cuccittini,Complete,,"[83.0, 5.0]","[71.0, 8.0]",83.0,5.0,71.0,8.0
275,Barcelona,Lionel Andrés Messi Cuccittini,Complete,,"[83.0, 19.0]","[83.0, 41.0]",83.0,19.0,83.0,41.0
283,Barcelona,Lionel Andrés Messi Cuccittini,Complete,,"[58.0, 49.0]","[48.0, 47.0]",58.0,49.0,48.0,47.0
286,Barcelona,Lionel Andrés Messi Cuccittini,Complete,,"[79.0, 42.0]","[69.0, 45.0]",79.0,42.0,69.0,45.0
