,team,player,pass_outcome,pass_goal_assist,location,pass_end_location,x,y,endx,endy
54,Barcelona,Xavier Hernández Creus,Complete,,"[42.0, 52.0]","[49.0, 75.0]",42.0,52.0,49.0,75.0
59,Barcelona,Xavier Hernández Creus,Complete,,"[37.0, 52.0]","[44.0, 67.0]",37.0,52.0,44.0,67.0
96,Barcelona,Xavier Hernández Creus,Complete,,"[41.0, 61.0]","[36.0, 43.0]",41.0,61.0,36.0,43.0
105,Barcelona,Xavier Hernández Creus,Complete,,"[33.0, 21.0]","[8.0, 36.0]",33.0,21.0,8.0,36.0
132,Barcelona,Xavier Hernández Creus,Complete,,"[57.0, 44.0]","[70.0, 24.0]",57.0,44.0,70.0,24.0
135,Barcelona,Xavier Hernández Creus,Complete,,"[72.0, 15.0]","[85.0, 2.0]",72.0,15.0,85.0,2.0
137,Barcelona,Xavier Hernández Creus,Complete,,"[72.0, 3.0]","[54.0, 4.0]",72.0,3.0,54.0,4.0
146,Barcelona,Xavier Hernández Creus,Complete,,"[57.0, 36.0]","[73.0, 52.0]",57.0,36.0,73.0,52.0
150,Barcelona,Xavier Hernández Creus,Complete,,"[79.0, 33.0]","[80.0, 24.0]",79.0,33.0,80.0,24.0
156,Barcelona,Xavier Hernández Creus,Complete,,"[81.0, 34.0]","[82.0, 53.0]",81.0,34.0,82.0,53.0
161,Barcelona,Xavier Hernández Creus,Complete,,"[120.0, 1.0]","[110.0, 2.0]",120.0,1.0,110.0,2.0
180,Barcelona,Xavier Hernández Creus,Complete,,"[56.0, 28.0]","[66.0, 23.0]",56.0,28.0,66.0,23.0
183,Barcelona,Xavier Hernández Creus,Complete,,"[42.0, 18.0]","[40.0, 67.0]",42.0,18.0,40.0,67.0
186,Barcelona,Xavier Hernández Creus,Complete,,"[82.0, 31.0]","[83.0, 40.0]",82.0,31.0,83.0,40.0
194,Barcelona,Xavier Hernández Creus,Complete,,"[41.0, 34.0]","[64.0, 50.0]",41.0,34.0,64.0,50.0
196,Barcelona,Xavier Hernández Creus,Complete,,"[46.0, 53.0]","[32.0, 75.0]",46.0,53.0,32.0,75.0
199,Barcelona,Xavier Hernández Creus,Complete,,"[52.0, 51.0]","[51.0, 28.0]",52.0,51.0,51.0,28.0
203,Barcelona,Xavier Hernández Creus,Complete,,"[66.0, 44.0]","[68.0, 66.0]",66.0,44.0,68.0,66.0
214,Barcelona,Xavier Hernández Creus,Complete,,"[73.0, 24.0]","[77.0, 35.0]",73.0,24.0,77.0,35.0
224,Barcelona,Xavier Hernández Creus,Complete,,"[56.0, 48.0]","[87.0, 77.0]",56.0,48.0,87.0,77.0
226,Barcelona,Xavier Hernández Creus,Complete,,"[70.0, 62.0]","[67.0, 28.0]",70.0,62.0,67.0,28.0
231,Barcelona,Xavier Hernández Creus,Complete,,"[82.0, 26.0]","[80.0, 4.0]",82.0,26.0,80.0,4.0
234,Barcelona,Xavier Hernández Creus,Complete,,"[79.0, 24.0]","[70.0, 20.0]",79.0,24.0,70.0,20.0
239,Barcelona,Xavier Hernández Creus,Complete,,"[111.0, 66.0]","[112.0, 44.0]",111.0,66.0,112.0,44.0
242,Barcelona,Xavier Hernández Creus,Complete,,"[47.0, 73.0]","[48.0, 79.0]",47.0,73.0,48.0,79.0
247,Barcelona,Xavier Hernández Creus,Complete,,"[35.0, 47.0]","[42.0, 62.0]",35.0,47.0,42.0,62.0
250,Barcelona,Xavier Hernández Creus,Complete,,"[55.0, 52.0]","[72.0, 33.0]",55.0,52.0,72.0,33.0
252,Barcelona,Xavier Hernández Creus,Complete,,"[70.0, 38.0]","[72.0, 2.0]",70.0,38.0,72.0,2.0
254,Barcelona,Xavier Hernández Creus,Complete,,"[75.0, 18.0]","[73.0, 6.0]",75.0,18.0,73.0,6.0
256,Barcelona,Xavier Hernández Creus,Complete,,"[69.0, 19.0]","[63.0, 40.0]",69.0,19.0,63.0,40.0
263,Barcelona,Xavier Hernández Creus,Complete,,"[44.0, 23.0]","[41.0, 14.0]",44.0,23.0,41.0,14.0
269,Barcelona,Xavier Hernández Creus,Complete,,"[75.0, 52.0]","[77.0, 36.0]",75.0,52.0,77.0,36.0
276,Barcelona,Xavier Hernández Creus,Complete,,"[88.0, 42.0]","[106.0, 68.0]",88.0,42.0,106.0,68.0
281,Barcelona,Xavier Hernández Creus,Complete,,"[39.0, 48.0]","[35.0, 67.0]",39.0,48.0,35.0,67.0
287,Barcelona,Xavier Hernández Creus,Complete,,"[76.0, 45.0]","[83.0, 48.0]",76.0,45.0,83.0,48.0
290,Barcelona,Xavier Hernández Creus,Complete,,"[80.0, 38.0]","[71.0, 26.0]",80.0,38.0,71.0,26.0
293,Barcelona,Xavier Hernández Creus,Complete,,"[87.0, 15.0]","[85.0, 39.0]",87.0,15.0,85.0,39.0
295,Barcelona,Xavier Hernández Creus,Complete,,"[91.0, 21.0]","[93.0, 40.0]",91.0,21.0,93.0,40.0
299,Barcelona,Xavier Hernández Creus,Complete,,"[56.0, 41.0]","[55.0, 28.0]",56.0,41.0,55.0,28.0
315,Barcelona,Xavier Hernández Creus,Complete,,"[83.0, 29.0]","[79.0, 18.0]",83.0,29.0,79.0,18.0
317,Barcelona,Xavier Hernández Creus,Complete,,"[85.0, 35.0]","[101.0, 54.0]",85.0,35.0,101.0,54.0
326,Barcelona,Xavier Hernández Creus,Complete,,"[40.0, 36.0]","[48.0, 67.0]",40.0,36.0,48.0,67.0
335,Barcelona,Xavier Hernández Creus,Complete,,"[79.0, 31.0]","[77.0, 25.0]",79.0,31.0,77.0,25.0
337,Barcelona,Xavier Hernández Creus,Complete,,"[85.0, 25.0]","[84.0, 30.0]",85.0,25.0,84.0,30.0
346,Barcelona,Xavier Hernández Creus,Complete,,"[38.0, 43.0]","[54.0, 46.0]",38.0,43.0,54.0,46.0
352,Barcelona,Xavier Hernández Creus,Complete,,"[36.0, 42.0]","[35.0, 59.0]",36.0,42.0,35.0,59.0
356,Barcelona,Xavier Hernández Creus,Complete,,"[63.0, 39.0]","[64.0, 7.0]",63.0,39.0,64.0,7.0
359,Barcelona,Xavier Hernández Creus,Complete,,"[63.0, 18.0]","[55.0, 54.0]",63.0,18.0,55.0,54.0
